Tables_in_grocy_test	Table_type
batteries_current	VIEW
chores_assigned_users_resolved	VIEW
chores_current	VIEW
chores_execution_average_frequency	VIEW
chores_execution_timeline	VIEW
chores_execution_users_statistics	VIEW
meal_plan_internal_recipe_relation	VIEW
permission_tree	VIEW
product_barcodes_comma_separated	VIEW
product_barcodes_view	VIEW
product_qu_relations	VIEW
products_average_price	VIEW
products_current_price	VIEW
products_current_substitutions	VIEW
products_last_purchased	VIEW
products_price_history	VIEW
products_resolved	VIEW
products_view	VIEW
products_volatile_status	VIEW
quantity_unit_conversions_resolved	VIEW
quantity_units_resolved	VIEW
recipes_missing_product_counts	VIEW
recipes_nestings_resolved	VIEW
recipes_pos_resolved	VIEW
recipes_resolved	VIEW
shopping_lists_view	VIEW
stock_average_product_shelf_life	VIEW
stock_current	VIEW
stock_current_location_content	VIEW
stock_current_locations	VIEW
stock_edited_entries	VIEW
stock_missing_products	VIEW
stock_next_use	VIEW
tasks_current	VIEW
uihelper_product_details	VIEW
uihelper_stock_current_overview	VIEW
uihelper_stock_entries	VIEW
uihelper_stock_journal	VIEW
uihelper_stock_journal_summary	VIEW
uihelper_user_permissions	VIEW
user_permissions_resolved	VIEW
userfield_values_resolved	VIEW
users_dto	VIEW
